query_id,retrieved_docs
001,cdn_soc_0003955 cdn_soc_0002307 cts_for_0002010 cdn_soc_0004946 cts_for_0001093 cte_foc_0000260 cts_for_0002013 cdn_soc_0002219 cdn_loc_0001911 cts_soc_0003580 cts_for_0000202 cts_soc_0000801 cts_soc_0003030 cte_foc_0002798 cts_soc_0003259 cdn_soc_0004947 cdn_soc_0000300 cdn_soc_0002385 cts_for_0000925 cts_soc_0002336 cts_for_0001203 cts_esy_0000215 cts_for_0000082 cte_foc_0002784 cts_for_0000180 cdn_loc_0000300 cts_soc_0004817 cdn_ent_0000749 cte_foc_0003486 cte_foc_0001543 cts_for_0000288 cts_ent_0001002 cts_soc_0005595 cdn_soc_0003603 cts_ent_0000250 cdn_eco_0002363 cts_ent_0000339 cts_soc_0002209 cts_ent_0003437 cdn_ent_0000128 cdn_soc_0002936 cdn_foc_0000166 cts_ent_0001662 cdn_loc_0001540 cts_int_0001842 cts_int_0000042 cdn_foc_0008251 cdn_soc_0002442 cdn_soc_0002947 cts_soc_0005892 cts_soc_0005821 cdn_loc_0000097 cdn_foc_0005200 cts_for_0001915 cdn_foc_0002002 cdn_foc_0003464 cts_int_0002667 cdn_loc_0001330 cts_ent_0002596 cte_foc_0001767 cdn_loc_0000780 cdn_loc_0002114 cdn_soc_0004721 cts_ent_0000064 cdn_soc_0001745 cts_soc_0005891 cdn_soc_0004137 cdn_loc_0001921 cts_art_0001155 cdn_soc_0004343 cts_art_0000296 cdn_soc_0004433 cte_foc_0001485 cdn_loc_0000169 cdn_soc_0004651 cts_for_0001897 ctc_sto_0006226 cdn_loc_0001667 cdn_loc_0000389 cts_soc_0002332 cts_art_0001157 cdn_spo_0000386 cdn_loc_0000211 cts_art_0000993 cdn_loc_0001741 cts_for_0000782 cts_soc_0004812 cdn_soc_0004514 cdn_ent_0000328 cts_int_0001882 cdn_foc_0003636 cdn_ent_0000068 cts_soc_0000132 cte_foc_0000558 ctc_ser_0000511 cts_for_0000140 cdn_soc_0000965 cts_soc_0005415 cdn_soc_0000223 cdn_soc_0005143 
002,cdn_edu_0000554 cte_foc_0002373 cdn_edu_0001109 cdn_edu_0000415 cte_foc_0003620 cts_soc_0005792 cdn_edu_0001302 cdn_edu_0001372 cdn_edu_0000811 cts_soc_0005359 cdn_edu_0001267 cdn_edu_0001009 cdn_edu_0001134 cdn_edu_0001104 cdn_edu_0001154 cdn_edu_0001271 cdn_edu_0001143 cts_soc_0004597 cdn_edu_0000919 cdn_edu_0000914 cts_soc_0005003 cts_soc_0004922 cdn_edu_0000978 cdn_edu_0000918 cdn_edu_0001047 cdn_foc_0006364 cdn_edu_0001165 cts_soc_0004894 cts_soc_0005356 cdn_foc_0006362 cdn_edu_0001084 cdn_soc_0001296 cdn_edu_0001155 cdn_edu_0001015 cdn_foc_0006366 cdn_edu_0001319 cdn_edu_0000220 cdn_edu_0001270 cte_foc_0003432 cts_soc_0005004 cts_soc_0005514 cts_soc_0002755 cte_foc_0003425 cts_soc_0002187 cdn_edu_0000755 cdn_soc_0000493 cts_art_0001460 cdn_soc_0001411 cdn_edu_0000447 cdn_soc_0001230 cts_for_0001216 cdn_edu_0001214 cdn_loc_0001326 cts_soc_0004895 cts_for_0000392 cts_soc_0005120 cdn_soc_0001695 cdn_edu_0001320 cts_for_0001215 cte_foc_0000156 cdn_edu_0000512 cdn_edu_0001105 cdn_soc_0000961 cts_soc_0004035 cdn_edu_0001080 cte_foc_0003482 cdn_edu_0000928 cts_soc_0006066 cdn_edu_0001259 cts_art_0001496 cts_soc_0002342 cdn_edu_0001197 cdn_edu_0001253 cts_soc_0006228 cts_for_0001821 cdn_soc_0000016 cdn_edu_0001163 cdn_edu_0000742 cdn_soc_0001382 cts_for_0000427 cts_for_0000568 cts_soc_0002244 cts_soc_0005535 cdn_soc_0000062 cdn_edu_0000583 cts_for_0001217 cdn_for_0000132 cdn_edu_0000759 cdn_soc_0003408 cdn_soc_0000320 cts_soc_0004695 cts_for_0000408 cdn_soc_0000898 cts_soc_0004008 cdn_soc_0000682 cdn_loc_0000407 cts_for_0000155 cdn_soc_0000639 cdn_edu_0000492 cdn_edu_0000502 
003,cts_soc_0000597 cdn_foc_0008637 cts_soc_0000287 cdn_soc_0002194 cdn_foc_0008638 cts_soc_0000417 cdn_soc_0004042 cts_soc_0000269 cdn_loc_0001157 cdn_loc_0001324 cts_soc_0000418 cdn_soc_0000013 cdn_soc_0004228 cdn_foc_0008635 cdn_foc_0008636 cts_for_0001706 cdn_soc_0003907 cts_soc_0000286 cdn_foc_0000009 cts_soc_0002632 cts_soc_0000274 cdn_soc_0003614 cdn_edu_0000507 cdn_soc_0000015 cdn_soc_0001397 cts_for_0000501 cdn_soc_0001917 cts_for_0001271 cdn_for_0000641 cts_for_0001223 cts_soc_0005362 cdn_loc_0000587 cts_ent_0000210 cdn_soc_0004043 cdn_soc_0001921 cdn_soc_0004620 cdn_soc_0003237 cdn_foc_0003959 cts_soc_0004898 cdn_eco_0001564 cte_foc_0001274 cts_for_0000718 cdn_foc_0007530 cts_soc_0006095 cdn_foc_0007350 cdn_soc_0004775 cdn_loc_0000995 cts_soc_0001032 cdn_loc_0001741 cts_soc_0002734 cdn_foc_0000634 cdn_foc_0002544 cdn_foc_0002564 cts_soc_0005930 cdn_soc_0002909 cdn_soc_0004787 cdn_loc_0001105 cdn_loc_0001711 cts_pol_0002432 cdn_soc_0001664 cdn_soc_0001775 cdn_soc_0002246 cts_soc_0005691 cte_foc_0001221 cts_soc_0004084 cts_soc_0002588 cdn_foc_0002966 cts_soc_0004462 cdn_soc_0004721 cdn_soc_0000014 cdn_foc_0002586 cts_soc_0002781 cts_foc_0000581 cdn_soc_0004909 ctc_dep_0000950 cdn_soc_0003953 cts_foc_0002419 cdn_for_0000263 cdn_foc_0001783 cdn_soc_0004002 cts_art_0000311 cdn_soc_0001627 cdn_eco_0000526 cts_foc_0002623 cts_soc_0000239 cdn_foc_0005035 cdn_for_0000565 cdn_foc_0007364 cts_art_0001667 cdn_eco_0000135 cdn_loc_0001022 cdn_foc_0002019 cts_soc_0005897 cdn_foc_0002264 cdn_foc_0002037 ctc_esy_0000058 cts_soc_0004451 cts_ent_0000316 cts_foc_0003561 cdn_ent_0000965 
004,cts_chi_0002306 cts_chi_0002234 ctc_chi_0001731 cdn_chi_0001993 cts_ent_0001940 ctc_chi_0001730 cdn_eco_0002860 cdn_ent_0000534 cts_chi_0002315 cdn_spo_0001254 cts_ent_0001585 cts_chi_0002329 ctc_chi_0001695 cts_ent_0003686 ctc_ser_0000158 cts_ent_0002547 cts_ent_0003347 ctc_chi_0001199 cdn_ent_0000547 ctc_chi_0001603 ctc_chi_0001864 cts_ent_0000308 cts_ent_0000111 cts_ent_0002947 cts_ent_0002811 cts_ent_0000152 cts_ent_0001537 cdn_eco_0003314 cts_ent_0003609 cts_eco_0001889 cts_soc_0005749 cts_ent_0000506 cts_ent_0002473 cdn_chi_0001120 cts_chi_0002662 cts_ent_0002272 cts_foc_0005257 cdn_loc_0001005 cdn_loc_0001013 ctc_dep_0001407 cdn_chi_0000043 cts_art_0000151 cts_ent_0000499 ctc_ser_0000276 cts_ent_0000359 cts_chi_0001889 cts_int_0002718 cts_chi_0001714 cdn_chi_0001932 cdn_spo_0000335 cts_pol_0000718 cts_ent_0002495 ctc_eco_0000164 cts_art_0000598 cts_chi_0000343 ctc_foc_0000239 cdn_chi_0000428 cts_chi_0001379 cts_chi_0002668 cdn_chi_0000207 cdn_eco_0002705 ctc_sto_0001376 cts_chi_0002618 ctc_dep_0000043 cts_ent_0002011 cts_chi_0000429 cts_soc_0001212 cts_chi_0000117 cdn_soc_0001930 cts_chi_0000337 cts_chi_0000224 cts_chi_0000221 cdn_chi_0001892 cts_chi_0002419 cdn_soc_0003483 cts_art_0001673 cts_chi_0002688 cdn_chi_0000096 ctc_ser_0000421 cts_ent_0001315 cts_art_0000154 cts_chi_0000374 cts_eco_0000508 cdn_chi_0000090 ctc_foc_0000558 cdn_foc_0000559 cts_art_0000833 cts_chi_0002710 cdn_eco_0002522 cts_chi_0000157 ctc_chi_0000548 ctc_dep_0000042 cts_chi_0000641 cts_ent_0000761 ctc_chi_0000324 cdn_chi_0000297 ctc_cgo_0000705 cdn_chi_0000381 cdn_chi_0000277 cdn_chi_0001561 
005,cdn_soc_0003177 cdn_loc_0002169 cdn_soc_0004797 cdn_loc_0001006 cdn_loc_0000998 cts_soc_0003601 cdn_soc_0003178 cdn_soc_0004796 cdn_loc_0001127 cts_soc_0004839 cdn_loc_0001472 cdn_soc_0004137 cdn_loc_0001956 cts_soc_0005709 cts_soc_0005710 cdn_loc_0001964 cdn_loc_0000943 cts_for_0002122 cts_soc_0000396 cdn_loc_0002176 cdn_loc_0001523 cdn_loc_0001089 cdn_loc_0001218 cdn_loc_0000494 cdn_loc_0001133 cdn_loc_0000250 cdn_loc_0000813 cdn_loc_0000590 cdn_loc_0001758 cts_soc_0002304 cdn_loc_0001338 cdn_loc_0002018 cdn_loc_0001404 cts_soc_0002235 cdn_loc_0000306 cdn_soc_0002947 cte_foc_0000727 cdn_loc_0002203 cdn_loc_0000097 ctc_ser_0000534 cdn_loc_0000849 cdn_loc_0001953 cdn_loc_0000931 cts_soc_0003254 cts_soc_0000464 cdn_loc_0000307 cdn_loc_0000539 cdn_soc_0003453 cdn_soc_0000098 cdn_loc_0000295 ctc_dep_0000114 cdn_foc_0004373 cdn_loc_0002048 cdn_loc_0000767 cdn_eco_0001771 cdn_loc_0001383 cdn_loc_0000116 ctc_ser_0000495 cdn_loc_0000607 cdn_loc_0001134 cts_soc_0002305 cdn_loc_0002037 cdn_loc_0002085 cdn_loc_0000178 cdn_loc_0000641 cdn_loc_0001674 cdn_foc_0005120 cdn_loc_0000793 cdn_loc_0001213 cdn_edu_0000321 cdn_loc_0001578 cdn_loc_0000002 cdn_loc_0001457 cdn_loc_0002038 cdn_ent_0000892 cdn_loc_0001741 cte_foc_0003473 cdn_loc_0001747 cdn_loc_0001792 cdn_loc_0002193 cdn_loc_0000697 cdn_loc_0000665 cdn_loc_0001505 cdn_edu_0001402 cts_soc_0001027 cdn_loc_0000461 cdn_loc_0001179 cdn_loc_0000586 cdn_loc_0002023 cdn_loc_0001459 cdn_loc_0001194 cdn_loc_0001532 cdn_loc_0001680 cdn_loc_0000887 ctc_mnf_0001762 cdn_soc_0001806 cdn_soc_0002091 cdn_loc_0000824 cts_pol_0003365 cts_soc_0002597 
006,cdn_foc_0004860 cdn_eco_0003578 cts_foc_0004652 ctc_foc_0003504 cdn_eco_0004043 cdn_eco_0003475 cdn_eco_0003084 cdn_foc_0005119 ctc_dep_0001299 cte_foc_0003316 ctc_foc_0003285 cts_eco_0003578 cdn_eco_0001201 ctc_foc_0003007 ctc_foc_0001004 cts_foc_0003666 cts_eco_0002928 ctc_foc_0003252 cdn_eco_0003720 ctc_fin_0002731 ctc_foc_0000160 ctc_foc_0003638 ctc_foc_0001013 ctc_foc_0003257 ctc_foc_0001334 cts_eco_0001358 ctc_dep_0001397 cdn_eco_0003686 ctc_dep_0000863 cdn_eco_0003163 cts_foc_0004117 cts_eco_0003859 cts_eco_0001645 cdn_foc_0008298 cdn_foc_0004055 cdn_eco_0000892 ctc_dep_0000676 cdn_foc_0004104 cdn_foc_0007931 cdn_soc_0001759 cdn_foc_0007939 cts_eco_0003428 ctc_fin_0000825 cts_eco_0003396 cts_foc_0004121 cdn_eco_0003717 cts_foc_0005005 ctc_dep_0000612 cts_eco_0003203 ctc_foc_0000620 ctc_foc_0002640 cts_foc_0005006 cts_eco_0003022 ctc_foc_0001014 cdn_foc_0008144 ctc_foc_0002622 cts_eco_0003127 cts_eco_0003933 cdn_foc_0007932 ctc_foc_0002315 cts_eco_0003778 cts_foc_0004118 ctc_fin_0002508 ctc_eco_0001638 cdn_eco_0000955 cdn_foc_0006425 cdn_eco_0001647 cdn_eco_0004005 ctc_foc_0003169 ctc_tec_0001602 cdn_eco_0003488 cdn_eco_0003886 cdn_eco_0000104 cts_eco_0003860 ctc_sto_0000743 ctc_fin_0002195 cdn_eco_0003174 cdn_eco_0003653 cdn_eco_0003776 ctc_foc_0002413 cts_eco_0001307 cts_eco_0003861 ctc_foc_0000860 cdn_foc_0007936 cts_foc_0004625 ctc_foc_0001553 cdn_foc_0008213 cts_eco_0003420 cts_foc_0004122 cts_foc_0004526 cts_eco_0003825 ctc_dep_0000677 ctc_foc_0002642 cts_foc_0003997 ctc_foc_0001425 ctc_foc_0003142 ctc_dep_0000215 cdn_eco_0003729 cdn_for_0000461 ctc_foc_0001948 
007,cdn_edu_0000099 cdn_soc_0002354 cts_soc_0002760 cts_soc_0002098 cts_soc_0002357 cts_soc_0002759 cts_pol_0001328 cdn_soc_0002417 cdn_soc_0004669 cts_soc_0002250 cts_soc_0003777 ctc_tec_0001177 cts_soc_0002249 cts_soc_0002419 cte_foc_0001355 cts_soc_0005565 cts_soc_0002103 ctc_tec_0000871 cts_pol_0001380 ctc_tec_0001217 cts_for_0001326 ctc_tec_0000623 ctc_esy_0000078 cts_soc_0003518 ctc_tec_0000655 cts_soc_0003880 cts_soc_0002935 cts_soc_0003808 cts_for_0000970 cts_soc_0003237 ctc_foc_0002689 cts_soc_0001983 cts_pol_0001061 ctc_tec_0000283 cts_for_0000684 cts_soc_0004526 cts_soc_0002761 cts_soc_0003559 cts_soc_0003560 cts_int_0002557 cdn_soc_0000050 ctc_dep_0000531 ctc_mnf_0002319 cts_soc_0002283 cts_soc_0002279 cts_for_0000971 cts_soc_0003032 cts_soc_0003024 cts_esy_0000174 ctc_dep_0000407 ctc_ser_0000941 ctc_ser_0000943 cts_soc_0003296 cts_pol_0001384 cts_soc_0003236 cts_soc_0003121 cts_soc_0003115 cts_esy_0000171 cdn_soc_0002136 cts_for_0001686 ctc_cgo_0001053 ctc_tec_0000473 cts_soc_0002782 ctc_dep_0000405 cte_foc_0002356 ctc_tec_0001160 ctc_dep_0000404 ctc_foc_0001001 ctc_foc_0002177 ctc_ser_0001219 cts_for_0001047 ctc_foc_0003327 cts_for_0000908 ctc_foc_0001002 cdn_soc_0004167 cts_for_0000387 ctc_tec_0000904 cts_for_0000678 cdn_soc_0003220 cts_foc_0005187 cte_esy_0000163 ctc_dep_0000406 ctc_foc_0003610 cts_eco_0000587 cts_soc_0003637 cdn_loc_0000110 ctc_dep_0000636 cts_soc_0000060 ctc_ser_0000942 ctc_dep_0000233 ctc_foc_0000703 cdn_eco_0001929 ctc_sto_0002115 cdn_foc_0008261 cts_chi_0002006 ctc_sto_0002301 ctc_foc_0001662 cts_soc_0003114 cdn_foc_0005324 cdn_ent_0000403 
008,cdn_foc_0001801 ctc_dep_0000877 cte_esy_0000216 cte_foc_0003271 cdn_eco_0002259 cts_soc_0000236 cts_eco_0004366 cdn_eco_0003365 cte_sto_0000423 cts_foc_0004593 cts_soc_0000046 cts_eco_0002609 cdn_soc_0003588 cts_eco_0000757 cts_soc_0000103 cts_eco_0003468 ctc_foc_0002477 cts_esy_0000557 cts_eco_0004330 cdn_soc_0005091 cdn_foc_0005157 cts_soc_0000102 cdn_foc_0007144 cdn_eco_0000118 cts_eco_0000130 cts_eco_0000128 cdn_eco_0003360 cts_eco_0000557 cts_for_0000852 cte_foc_0001168 cdn_soc_0004846 ctc_fin_0001033 cts_soc_0005822 ctc_foc_0002942 cte_foc_0001421 cdn_soc_0004843 ctc_eco_0000299 cts_eco_0000774 cdn_eco_0000650 cdn_soc_0003357 ctc_foc_0001304 ctc_foc_0000953 ctc_dep_0001512 cdn_eco_0003344 ctc_foc_0003255 cts_soc_0005821 cdn_chi_0001804 cts_eco_0004039 ctc_foc_0001494 cte_esy_0000232 ctc_chi_0000519 ctc_foc_0000632 cts_eco_0001970 cdn_foc_0006160 ctc_eco_0000466 cte_sto_0000295 cdn_eco_0000755 ctc_foc_0000231 ctc_eco_0000636 ctc_foc_0000103 cdn_soc_0003356 ctc_eco_0001377 cdn_eco_0003133 ctc_eco_0000311 cdn_chi_0001912 cts_eco_0000498 cts_eco_0002779 cdn_eco_0001579 ctc_foc_0003631 cdn_soc_0004897 cdn_eco_0002077 ctc_eco_0000773 ctc_foc_0001025 cts_eco_0004251 cdn_eco_0001878 ctc_chi_0000368 ctc_eco_0000547 cts_eco_0000005 cts_eco_0002620 cdn_eco_0000117 ctc_foc_0001438 ctc_foc_0002936 ctc_dep_0000443 cts_eco_0004323 ctc_chi_0001352 ctc_foc_0000117 ctc_chi_0000480 cdn_foc_0006184 cdn_for_0000019 cdn_eco_0002761 cts_eco_0004399 cts_eco_0000775 cts_eco_0000505 cdn_eco_0003471 ctc_eco_0000316 cdn_soc_0004665 ctc_foc_0002865 cdn_foc_0006155 ctc_sto_0006556 cts_int_0001087 
009,cdn_foc_0007786 cdn_foc_0005332 cdn_foc_0005306 cdn_foc_0005329 cdn_chi_0002158 cte_foc_0003506 cdn_foc_0004759 cdn_foc_0005314 cdn_foc_0005296 cdn_foc_0003964 cts_chi_0000697 cdn_foc_0005334 cte_foc_0003489 cdn_chi_0002126 cts_pol_0003077 cts_pol_0003066 cdn_for_0000633 ctc_foc_0003318 cts_foc_0005167 cts_pol_0003095 cdn_eco_0002904 cts_for_0001775 cdn_foc_0004810 ctc_dep_0001427 cts_foc_0005166 cts_foc_0005168 cts_pol_0001496 cts_int_0000261 cts_chi_0000209 cdn_foc_0005495 cdn_foc_0005586 ctc_dep_0000853 cdn_foc_0001173 cdn_foc_0006415 cts_foc_0004239 cdn_foc_0008408 cdn_foc_0001957 ctc_foc_0000521 cte_esy_0000042 cdn_foc_0005313 cts_foc_0000894 cdn_foc_0002479 cts_chi_0002391 cdn_chi_0002205 cdn_foc_0005331 cdn_foc_0003055 cte_foc_0002335 cdn_foc_0007860 cts_chi_0001340 cts_chi_0001881 cdn_foc_0007787 cdn_foc_0000371 cte_foc_0002849 cdn_foc_0007858 cdn_foc_0007861 cts_pol_0002555 cdn_foc_0002702 cts_pol_0003045 cdn_foc_0004187 cdn_chi_0001209 cts_chi_0002544 cts_art_0001303 cdn_foc_0005268 cts_pol_0001874 cts_chi_0001982 cts_foc_0000879 cdn_foc_0002417 cdn_foc_0003101 cdn_foc_0005477 ctc_ser_0000887 cts_chi_0001807 cdn_foc_0005229 cts_foc_0000902 cdn_foc_0006302 cts_chi_0000185 cts_foc_0004413 ctc_chi_0001871 cdn_foc_0002223 cdn_foc_0004598 cdn_foc_0001514 cts_eco_0001305 cdn_foc_0002982 cdn_foc_0004688 cdn_foc_0001189 cdn_foc_0003316 cdn_foc_0004710 cdn_foc_0005558 cte_foc_0000552 cdn_foc_0004494 cts_foc_0003090 cts_foc_0001064 cts_chi_0002670 cts_chi_0002364 cts_chi_0001628 cdn_foc_0004722 cdn_foc_0007784 cdn_chi_0000100 cdn_for_0000006 cts_pol_0002416 cdn_foc_0005602 
